Id,Predicted
14447,3.041680e+05
14448,3.661720e+05
14449,4.592300e+05
14450,1.750140e+05
14451,1.267810e+05
14452,2.463140e+05
14453,4.114590e+05
14454,4.195100e+05
14455,1.876280e+05
14456,1.204670e+05
14457,2.822700e+04
14458,3.744530e+05
14459,1.616390e+05
14460,1.171770e+05
14461,1.330680e+05
14462,1.028840e+05
14463,3.023130e+05
14464,5.512000e+04
14465,1.216830e+05
14466,4.992400e+04
14467,3.665610e+05
14468,2.925150e+05
14469,3.579800e+05
14470,6.255600e+04
14471,1.531600e+05
14472,4.979800e+04
14473,1.410820e+05
14474,2.917390e+05
14475,4.507170e+05
14476,3.971190e+05
14477,2.065430e+05
14478,1.768030e+05
14479,1.244550e+05
14480,4.259180e+05
14481,1.690470e+05
14482,4.556330e+05
14483,2.123760e+05
14484,1.890320e+05
14485,2.271780e+05
14486,4.021500e+04
14487,4.237500e+04
14488,4.175790e+05
14489,1.993540e+05
14490,3.682030e+05
14491,4.687540e+05
14492,1.020480e+05
14493,1.270230e+05
14494,2.814850e+05
14495,3.992070e+05
14496,1.041500e+05
14497,2.267400e+05
14498,2.632150e+05
14499,1.411220e+05
14500,1.909740e+05
14501,1.604120e+05
14502,4.825630e+05
14503,3.219480e+05
14504,7.886900e+04
14505,1.897060e+05
14506,3.848800e+05
14507,2.869630e+05
14508,1.554270e+05
14509,4.470110e+05
14510,1.947390e+05
14511,5.816800e+04
14512,4.111110e+05
14513,3.871330e+05
14514,4.099450e+05
14515,3.961500e+04
14516,4.142100e+05
14517,1.268920e+05
14518,1.910130e+05
14519,2.091500e+04
14520,3.885650e+05
14521,4.758500e+05
14522,2.374000e+04
14523,2.231520e+05
14524,1.170840e+05
14525,3.268240e+05
14526,4.533090e+05
14527,3.080160e+05
14528,4.470590e+05
14529,4.645200e+05
14530,1.809650e+05
14531,2.786400e+04
14532,1.233500e+05
14533,2.421980e+05
14534,2.245200e+04
14535,2.404000e+04
14536,4.452770e+05
14537,3.317680e+05
14538,7.545500e+04
14539,3.006930e+05
14540,1.197210e+05
14541,4.591080e+05
14542,3.328660e+05
14543,2.102610e+05
14544,6.156800e+04
14545,4.137840e+05
14546,4.400430e+05
14547,2.800820e+05
14548,5.242200e+04
14549,6.018600e+04
14550,3.102890e+05
14551,1.597720e+05
14552,4.216770e+05
14553,3.016730e+05
14554,4.832910e+05
14555,1.333880e+05
14556,1.092510e+05
14557,1.281880e+05
14558,2.014180e+05
14559,6.685900e+04
14560,3.216870e+05
14561,1.163960e+05
14562,4.442450e+05
14563,2.933160e+05
14564,2.680890e+05
14565,4.734680e+05
14566,3.209200e+05
14567,4.831930e+05
14568,4.071860e+05
14569,3.009710e+05
14570,7.318900e+04
14571,1.569910e+05
14572,2.476200e+05
14573,1.134330e+05
14574,4.991330e+05
14575,2.262610e+05
14576,4.905240e+05
14577,3.392440e+05
14578,8.229600e+04
14579,6.550300e+04
14580,4.733360e+05
14581,3.461000e+04
14582,4.141750e+05
14583,1.451380e+05
14584,4.513320e+05
14585,4.016400e+04
14586,4.824500e+05
14587,3.282610e+05
14588,3.923100e+05
14589,9.105600e+04
14590,4.438800e+05
14591,1.112460e+05
14592,1.332510e+05
14593,6.545300e+04
14594,4.320200e+05
14595,3.323800e+04
14596,4.182320e+05
14597,4.625440e+05
14598,3.877090e+05
14599,4.399890e+05
14600,2.872380e+05
14601,3.805880e+05
14602,4.867300e+04
14603,2.525620e+05
14604,7.432700e+04
14605,1.846040e+05
14606,3.613700e+05
14607,3.327460e+05
14608,1.913710e+05
14609,1.153680e+05
14610,2.753560e+05
14611,2.301140e+05
14612,1.696190e+05
14613,2.047970e+05
14614,4.103000e+05
14615,2.036140e+05
14616,2.008000e+04
14617,2.699520e+05
14618,3.322580e+05
14619,4.060940e+05
14620,2.659280e+05
14621,1.225960e+05
14622,2.222600e+04
14623,1.267850e+05
14624,2.668320e+05
14625,2.260990e+05
14626,4.584090e+05
14627,3.635020e+05
14628,3.901270e+05
14629,1.710000e+04
14630,4.561450e+05
14631,7.163300e+04
14632,3.831300e+05
14633,1.588420e+05
14634,1.045060e+05
14635,1.362080e+05
14636,1.141470e+05
14637,2.503600e+04
14638,2.966190e+05
14639,2.619940e+05
14640,2.267370e+05
14641,7.157300e+04
14642,1.569600e+05
14643,4.450370e+05
14644,1.179200e+05
14645,4.342330e+05
14646,2.721850e+05
14647,4.177330e+05
14648,1.442250e+05
14649,1.084790e+05
14650,1.238460e+05
14651,4.279090e+05
14652,1.344170e+05
14653,2.016220e+05
14654,4.681680e+05
14655,2.545970e+05
14656,4.422860e+05
14657,1.447600e+05
14658,2.589820e+05
14659,4.072860e+05
14660,3.475100e+05
14661,4.958220e+05
14662,9.782100e+04
14663,4.204720e+05
14664,2.623240e+05
14665,4.600320e+05
14666,2.003170e+05
14667,3.213440e+05
14668,3.056930e+05
14669,5.279400e+04
14670,4.362500e+04
14671,3.969020e+05
14672,4.141310e+05
14673,7.699400e+04
14674,1.021820e+05
14675,2.766160e+05
14676,1.140320e+05
14677,1.173880e+05
14678,2.588260e+05
14679,3.805270e+05
14680,4.143990e+05
14681,4.551060e+05
14682,3.332110e+05
14683,4.755740e+05
14684,3.878610e+05
14685,1.901490e+05
14686,8.669500e+04
14687,2.568660e+05
14688,2.445420e+05
14689,4.477990e+05
14690,3.254670e+05
14691,3.591950e+05
14692,2.558840e+05
